Bruxelles;be001l_bruxelles;BE;3923640.29;3097017.51
Antwerpen;be002l_antwerpen;BE;3930142.26;3138348.86
Gent;be003l_gent;BE;3881660.36;3123669.04
Brugge;be006l_brugge;BE;3848466.44;3143833.27
Charleroi;be004l_charleroi;BE;3926459.41;3048300.16
Liege;be005l_liege;BE;4008265.85;3068743.66
Namur;be007l_namur;BE;3956822.49;3052171.46
Lille;fr009c_lille;FR;3831601.71;3080820.7
Montpellier;fr010l_montpellier;FR;3825892;2298347
Le Havre;fr012l_le_havre;FR;3606684;2979436
Metz;fr017l_metz;FR;4041955.28;2896859.99
Toulon;fr032l_toulon;FR;3989214.87;2232635.16
Marseille;fr203c_marseille;FR;3944490.19;2254881.16
Nice;fr205c_nice;FR;4100553.67;2291438.77
Lens;fr207c_lens_lievin;FR;3812569.94;3060103.06
Nancy;fr016l_nancy;FR;4040085.47;2849448.98
Clermont-Ferrand;fr022l_clermont-ferrand;FR;3783479.27;2543538.63
Strasbourg;fr006l_strasbourg;FR;4155023.7;2832653.37
Nantes;fr008l_nantes;FR;3449239.11;2746535.45
Saint Etienne;fr011c_saint_etienne;FR;3881666.33;2497393.55
Amiens;fr014l_amiens;FR;3768492.95;3004741.58
Reims;fr018l_reims;FR;3886997.53;2922610.55
Orleans;fr019l_orleans;FR;3717106.15;2787450.24
Grenoble;fr026l_grenoble;FR;3985560.95;2462311.89
Tours;fr035l_tours;FR;3619665.67;2741619.07
Aix-en-Provence;fr202c_aix_en_provence;FR;3952315.72;2280206.77
Rennes;fr013l_rennes;FR;3454963.87;2846229.85
Toulouse;fr004l_toulouse;FR;3630188.8;2316738.92
Dijon;fr020l_dijon;FR;3946194.51;2702355.14
Poitiers;fr021l_poitiers;FR;3582285.78;2655564.34
Bordeaux;fr007l_bordeaux;FR;3486142.85;2473309.44
Besancon;fr025l_besancon;FR;4019700.12;2688361.56
Caen;fr023l_caen;FR;3567447.35;2949691.29
Ajaccio;fr027l_ajaccio;FR;4216016.55;2091545.38
Limoges;fr024l_limoges;FR;3642760.07;2563619.15
Rouen;fr015l_rouen;FR;3677242.628;2964628.942
Paris;fr001l_paris;FR;3760786.11;2889470.18
Lyon;fr003l_lyon;FR;3919055.81;2531161
Wien;at001l_wien;AT;4793046.16;2808920.12
Graz;at002l_graz;AT;4733995.94;2677073.98
Linz;at003l_linz;AT;4638630.77;2808800.76
Salzburg;at004l_salzburg;AT;4549023.47;2748222.72
Innsbruck;at005l_innsbruck;AT;4426558.93;2684560.34
Plovdiv;bg002l_plovdiv;BG;5535674.73;2234871.61
Varna;bg003l_varna;BG;5765389.62;2406897.8
Burgas;bg004l_burgas;BG;5747409.66;2320825.15
Ruse;bg006l_ruse;BG;5595959.17;2440747.97
Vidin;bg007l_vidin;BG;5350620.43;2408321.82
Pleven;bg005l_pleven;BG;5499857.25;2370879.8
Sofia;bg001l_sofia;BG;5410324.73;2273619.98
Starazagora;bg501c_starazagora;BG;5600738.17;2280060.97
Lefkosia;cy001l_lefkosia;CY;6434935;1669889
Brno;cz002l_brno;CZ;4801875.06;2919475.51
Ostrava;cz003l_ostrava;CZ;4916050.1;3003557.04
Usti Nad Labem;cz005l_usti_nad_labem;CZ;4606321.12;3068823.47
Olomouc;cz006l_olomouc;CZ;4844358.39;2968174.88
Liberec;cz007l_liberec;CZ;4677520.61;3085465.23
Hradec Kralove;cz009l_hradec_kralove;CZ;4737163.88;3027712.21
Pardubice;cz010l_pardubice;CZ;4734536.7;3008118.28
Zlin;cz011l_zlin;CZ;4878375.93;2930570.87
Jihlava;cz014l_jihlava;CZ;4726499.97;2935789.46
Ceske Budejovice;cz008l_ceske_budejovice;CZ;4648340.83;2883402.84
Plzen;cz004l_plzen;CZ;4564372.85;2965097.26
Karlovyvary;cz013l_karlovyvary;CZ;4525459.56;3016870.72
Praha;cz001l_praha;CZ;4636991.78;3006718.92
Munchen;de003l_munchen;DE;4438311.45;2781694.62
Koln;de004l_koln;DE;4107362.73;3096338.25
Desden;de009l_dresden;DE;4583163.62;3110795.55
Bremen;de012l_bremen;DE;4241107.52;3330389.8
Hannover;de013l_hannover;DE;4303114.52;3250898.25
Wuppertal;de016l_wuppertal;DE;4121861.74;3131480.37
Bielefeld;de017l_bielefeld;DE;4220399.75;3213456.71
Darmstadt;de025l_darmstadt;DE;4224377.05;2974171.94
Trier;de026l_trier;DE;4078467.57;2965508.55
Frankfurt Oder;de029l_frankfurt_oder;DE;4631146.38;3258004.66
Karlsruhe;de035l_karlsruhe;DE;4204164;2878541
Monchengladbach;de036l_monchengladbach;DE;4071590.49;3126242.67
Dusseldorf;de011l_dusseldorf;DE;4095549.31;3128830.92
