citynumber;cityfile;country;LU_k_fact;POP_l_fact;;;totpop;lostpop;totsurf(km2);totgreen(km2);%greensurf;totforest(km2);%forestsurf;totwater(km2);%watersurf
1;be001l_bruxelles;BE;2.567915858;1.875227052;389420.8594;11.68262578;1827727.186;34288.828;1623.9648;41.234;2.539094;98.904217;6.090293;5.246618;0.323075
2;be002l_antwerpen;BE;3.622757721;2.358809458;276032.8118;8.280984353;918320.6888;28474.3432;944.4116;19.3168;2.045379;61.170024;6.477051;23.592801;2.498148
3;be003l_gent;BE;5.460117077;3.100758694;183146.256;5.49438768;404267.6966;18713.0868;539.9032;8.8936;1.647258;12.354607;2.2883;8.622411;1.597029
4;be006l_brugge;BE;8.570227053;4.18788633;116683.023;3.500490689;164092.3347;6815.5888;412.2856;3.464;0.840194;13.408805;3.25231;7.6596;1.857838
5;be004l_charleroi;BE;5.590327156;3.149861679;178880.4076;5.366412227;385654.5871;11984.622;619.2076;7.5584;1.220657;45.213603;7.301849;1.4284;0.230682
6;be005l_liege;BE;4.380072693;2.677036004;228306.7132;6.849201395;628217.9098;5782.1728;1055.9648;9.7636;0.924614;100.364203;9.504503;6.498609;0.615419
7;be007l_namur;BE;9.299591791;4.422242869;107531.6017;3.22594805;139362.2595;12394.516;397.4348;5.1324;1.291382;47.91482;12.05602;1.797612;0.452304
8;fr009c_lille;FR;3.323275877;2.226952378;300907.9104;9.027237312;1091289.96;21863.2688;612.7912;11.5632;1.886972;4.574386;0.746484;2.895399;0.472494
9;fr010l_montpellier;FR;5.20862845;3.004800106;191989.1214;5.759673643;444248.7274;6617.0572;591.1548;9.2524;1.56514;30.109028;5.093256;29.22957;4.944487
10;fr012l_le_havre;FR;6.534054326;3.495064225;153044.3351;4.591330053;282297.7833;3067.8516;641.0976;9.2404;1.441341;14.012408;2.18569;8.907798;1.38946
11;fr017l_metz;FR;5.289777784;3.035929057;189043.858;5.671315739;430723.03;7274.4924;1838.9912;9.4392;0.513281;200.001793;10.875625;11.805449;0.641952
12;fr032l_toulon;FR;5.583422993;3.147267718;179101.6015;5.373048046;386608.9366;7420.6476;334.9976;9.6216;2.87214;25.199986;7.522438;2.151417;0.642219
13;fr203c_marseille;FR;3.462619344;2.288775349;288798.7101;8.663961303;1005225.387;18193.3312;605.9436;17.986;2.968263;31.213389;5.151204;5.038199;0.831463
14;fr205c_nice;FR;4.959026021;2.908021355;201652.5011;6.049575032;490094.8916;7657.7684;329.2396;4.3612;1.324628;57.025993;17.320515;0.913597;0.277487
15;fr207c_lens_lievin;FR;7.081802835;3.687759192;141206.9812;4.236209437;240317.4391;20133.7524;239.7836;8.3352;3.476134;8.149803;3.398816;0.729196;0.304106
16;fr016l_nancy;FR;5.438108642;3.092420805;183887.4627;5.516623881;407546.5216;12110.318;1835.8888;9.7988;0.533736;288.593221;15.719537;14.191368;0.772997
17;fr022l_clermont-ferrand;FR;5.365229315;3.064729809;186385.3232;5.591559697;418693.6481;12320.0372;1818.9412;9.682;0.532288;207.515554;11.408591;4.734976;0.260315
18;fr006l_strasbourg;FR;4.365004801;2.670892963;229094.8225;6.872844675;632562.5822;23393.918;1368.9452;7.992;0.583807;119.815627;8.752405;19.811801;1.447231
19;fr008l_nantes;FR;3.999001778;2.519422856;250062.4044;7.501872133;753650.0902;13548.8572;2307.44;25.4836;1.10441;71.693587;3.107062;32.539449;1.410197
20;fr011c_saint_etienne;FR;5.707326524;3.193658537;175213.3851;5.256401552;370004.9296;8563.5924;570.9704;7.2712;1.273481;75.818596;13.278901;1.700813;0.297881
21;fr014l_amiens;FR;6.719224319;3.560787801;148826.7027;4.46480108;266952.9164;3986.9584;1769.0768;5.4548;0.308342;112.170595;6.340629;10.047795;0.567968
22;fr018l_reims;FR;6.443980495;3.462869656;155183.5858;4.655507574;290244.8454;3139.7016;1793.5388;5.4812;0.305608;127.405766;7.103597;3.569771;0.199035
23;fr019l_orleans;FR;5.801717174;3.228774409;172362.7626;5.170882879;358063.327;9299.6708;2070.5324;14.2696;0.689175;361.051823;17.437632;18.69678;0.902994
24;fr026l_grenoble;FR;4.800791508;2.845827447;208298.9853;6.24896956;522934.4567;11523.2968;1601.2896;8.5808;0.535868;414.198612;25.866565;10.055988;0.627993
25;fr035l_tours;FR;5.598356976;3.152877218;178623.8363;5.358715089;384549.0784;7852.8544;1812.6992;11.9092;0.656987;224.11797;12.363771;11.754805;0.64847
26;fr202c_aix_en_provence;FR;5.885405313;3.25974968;169911.8322;5.097354966;347952.6882;46592.2028;1293.1948;4.8564;0.375535;113.846222;8.803486;4.464981;0.345267
27;fr013l_rennes;FR;4.644309366;2.783646573;215317.2671;6.459518012;558766.8949;19990.5472;2558.43;6.9292;0.270838;128.151232;5.008979;11.96301;0.467592
28;fr004l_toulouse;FR;3.326769604;2.228512887;300591.9012;9.017757035;1088999.049;15468.1676;4040.3808;11.8352;0.292923;208.643361;5.163953;23.504423;0.581738
29;fr020l_dijon;FR;6.039093671;3.316254436;165587.7611;4.967632833;330468.0047;9358.3388;2279.978;11.0772;0.485847;422.125831;18.514469;8.753412;0.383925
30;fr021l_poitiers;FR;7.363670418;3.78497395;135801.8411;4.074055233;222271.7484;8105.9636;1760.76;8.162;0.46355;162.551437;9.231891;2.781993;0.158
31;fr007l_bordeaux;FR;3.49031298;2.300962716;286507.2575;8.595217726;989336.8947;15561.7012;3890.8216;19.3704;0.497849;1070.837562;27.522145;37.589444;0.966106
32;fr025l_besancon;FR;7.224921382;3.73727811;138409.8106;4.152294318;230890.8373;7768.984;1668.6504;2.9248;0.175279;380.396396;22.79665;7.722828;0.462819
33;fr023l_caen;FR;5.659808472;3.175907342;176684.424;5.30053272;376243.911;3265.2888;1625.4056;5.9496;0.366038;54.44924;3.349886;3.578183;0.220141
34;fr027l_ajaccio;FR;11.95082845;5.227154558;83676.20738;2.510286221;84387.26764;1420.0392;1015.014;0.3776;0.037201;72.442804;7.137124;2.71018;0.267009
35;fr024l_limoges;FR;6.854992723;3.608593801;145879.0754;4.376372261;256483.2179;8414.7708;1836.1476;5.0884;0.277124;253.219412;13.790798;9.067423;0.493829
36;fr015l_rouen;FR;4.828759408;2.85686934;207092.5295;6.212775884;516894.3861;-1;1585.2528;9.8804;0.62327;153.434815;9.678886;12.391211;0.781655
37;fr001l_paris;FR;1.026347413;1.017488699;974328.9532;29.22986859;11441531.66;43275.1504;12068.5556;207.2748;1.717478;1388.319239;11.503607;68.551839;0.56802
38;fr003l_lyon;FR;2.647495216;1.913771676;377715.5078;11.33146524;1719501.591;18436.8768;3318.5244;26.4864;0.798138;292.854302;8.824835;39.469796;1.189378
39;at001l_wien;AT;2.311514159;1.748226525;432616.8611;12.97850583;2255692.179;22516.1268;4618.1968;59.2212;1.282345;585.989578;12.68871;35.823199;0.775697
40;at002l_graz;AT;5.61940935;3.160776442;177954.6457;5.338639372;381673.1512;12822.3684;1231.1268;3.6956;0.30018;331.550195;26.930629;3.469623;0.281825
41;at003l_linz;AT;4.757075509;2.828525055;210213.1863;6.306395588;532589.8188;21029.5244;1744.6656;11.3604;0.651151;183.418636;10.513111;16.684019;0.956287
42;at004l_salzburg;AT;5.984245761;3.296144789;167105.4365;5.013163095;336553.4976;10062.7568;1743.8896;6.61;0.379038;415.282164;23.813558;20.433965;1.171746
43;at005l_innsbruck;AT;6.608140755;3.521433759;151328.4957;4.539854872;276003.367;12309.544;2093.4952;1.688;0.080631;358.456202;17.12238;2.961802;0.141476
44;bg002l_plovdiv;BG;5.274141855;3.029943552;189604.3048;5.688129145;433280.6927;11087.9548;1226.7192;2.746;0.223849;188.135809;15.336502;3.988379;0.325126
45;bg003l_varna;BG;5.886915426;3.26030726;169868.2464;5.096047391;347774.1973;6372.0012;880.7476;5.0732;0.576011;122.946204;13.9593;12.228793;1.388456
46;bg004l_burgas;BG;7.553610173;3.849784137;132387.0278;3.971610834;211233.9956;9906.516;1396.0768;1.7132;0.122715;163.383596;11.703052;42.065399;3.013115
47;bg006l_ruse;BG;8.258054706;4.085562297;121093.8939;3.632816816;176732.9143;7421.7456;892.6128;2.1468;0.240507;60.067178;6.729366;9.307792;1.042758
48;bg007l_vidin;BG;13.42703893;5.649198459;74476.58457;2.234297537;66851.69977;1735.3536;517.5072;1.1368;0.219668;30.169199;5.829716;12.215579;2.360465
49;bg005l_pleven;BG;8.414638994;4.13704577;118840.5112;3.565215337;170216.6241;17928.9208;1791.9856;3.4504;0.192546;93.865637;5.23808;11.504402;0.641992
50;bg001l_sofia;BG;3.042889564;2.099862191;328634.9961;9.859049882;1301669.019;16129.0464;3419.6704;19.1076;0.558756;707.472889;20.688336;6.95639;0.203423
51;bg501c_starazagora;BG;9.342064765;4.435697447;107042.7176;3.211281527;138097.9407;3707.216;85.474;2.2704;2.656246;10.153599;11.879167;0.082999;0.097104
52;cy001l_lefkosia;CY;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;0;0;2712.3492;3.8468;0.141825;4.267613;0.15734;2.039018;0.075175
53;cz002l_brno;CZ;4.071154712;2.549637303;245630.5571;7.368916714;727172.9857;42393.0996;3300.6424;8.0044;0.24251;617.040555;18.694559;6.18961;0.187527
54;cz003l_ostrava;CZ;3.249481654;2.19386244;307741.3897;9.232241692;1141418.143;50682.4308;3885.9068;35.1896;0.90557;653.307521;16.812228;24.153717;0.621572
55;cz005l_usti_nad_labem;CZ;7.040067643;3.673256209;142044.0897;4.261322692;243175.2024;9365.5652;874.6448;5.4068;0.618171;183.696372;21.002397;5.639586;0.644786
56;cz006l_olomouc;CZ;7.323781956;3.771292962;136541.4762;4.096244287;224699.5165;15136.3172;1617.2176;2.6376;0.163095;271.234585;16.771681;3.208807;0.198415
57;cz007l_liberec;CZ;6.990260602;3.655910691;143056.183;4.291685491;246652.8945;10108.056;1328.958;8.1572;0.613804;346.05996;26.039947;2.535021;0.190753
58;cz009l_hradec_kralove;CZ;8.783347946;4.257030139;113851.803;3.41555409;156225.8065;8687.1192;875.9988;4.082;0.465982;77.380993;8.833459;4.261404;0.486462
59;cz010l_pardubice;CZ;8.760828133;4.249750566;114144.4604;3.424333812;157029.9993;15642.0108;890.9536;4.866;0.546156;116.248801;13.047683;7.637005;0.857172
60;cz011l_zlin;CZ;7.974208027;3.99139805;125404.303;3.762129091;189538.6695;13739.534;1032.0768;2.5048;0.242695;244.121203;23.653395;2.448187;0.23721
61;cz014l_jihlava;CZ;10.62894963;4.834225438;94082.67373;2.822480212;106682.271;3581.1668;1178.692;2.2876;0.19408;189.514814;16.0784;4.688592;0.397779
62;cz008l_ceske_budejovice;CZ;8.236491524;4.078447134;121410.9184;3.642327551;177659.5012;6480.2984;1624.5368;5.0556;0.311203;279.823371;17.22481;27.992404;1.723101
63;cz004l_plzen;CZ;5.891458472;3.261984406;169737.2569;5.092117706;347238.0499;8301.0144;3103.03;3.6596;0.117936;605.062852;19.499098;10.400104;0.33516
64;cz013l_karlovyvary;CZ;10.11612993;4.677454797;98852.03204;2.965560961;117772.5701;8142.8756;1621.3588;13.8748;0.855751;382.139795;23.569107;6.65103;0.410213
65;cz001l_praha;CZ;2.472706778;1.828584691;404415.1166;12.1324535;1971186.478;34235.1984;6974.5496;79.7808;1.143885;836.135958;11.988386;37.067005;0.531461
66;de003l_munchen;DE;2.195587628;1.689275629;455458.9337;13.66376801;2500180.71;61448.1204;5195.2136;57.5464;1.107681;591.403855;11.383629;28.608637;0.550673
67;de004l_koln;DE;2.534391127;1.858870319;394572.0885;11.83716266;1876401.067;94472.6128;1626.3896;45.4192;2.79264;158.041247;9.717306;17.828006;1.096171
68;de009l_dresden;DE;3.657089448;2.373688479;273441.4933;8.2032448;901159.7469;23884.7864;2618.3928;22.5876;0.862651;403.064705;15.393592;11.953601;0.456524
69;de012l_bremen;DE;3.134150859;2.141640633;319065.6879;9.571970637;1226967.773;47756.2788;5897.2756;32.4684;0.550566;426.184923;7.22681;32.955534;0.558826
70;de013l_hannover;DE;3.064007307;2.109566391;326369.9789;9.791099366;1283788.133;38736.356;2973.5948;41.8228;1.406473;331.927197;11.162489;27.474843;0.923961
71;de016l_wuppertal;DE;5.837220157;3.241933103;171314.4225;5.139432674;353720.9666;26540.5872;168.3816;2.84;1.686645;24.15359;14.344554;0.643203;0.381991
72;de017l_bielefeld;DE;3.070028905;2.112329397;325729.8321;9.771894964;1278756.991;70617.1336;2924.4252;29.68;1.0149;309.175469;10.572179;5.470082;0.187048
73;de025l_darmstadt;DE;5.319288108;3.047209702;187995.0813;5.639852438;425957.1601;41874.2216;782.722;4.2008;0.536691;151.348799;19.336214;1.16361;0.148662
74;de026l_trier;DE;7.133971591;3.705847842;140174.3737;4.205231212;236815.5406;13892.18;1211.1612;1.7428;0.143895;278.332205;22.980608;7.440795;0.614352
75;de029l_frankfurt_oder;DE;13.87271368;5.773523643;72083.95006;2.162518502;62625.34108;2471.1408;148.3188;3.2528;2.193114;21.157599;14.264947;2.332001;1.572289
76;de035l_karlsruhe;DE;4.146767716;2.581109757;241151.6797;7.23455039;700895.9208;47754.4628;1258.5268;5.7796;0.459235;215.959172;17.15968;13.582606;1.079246
77;de036l_monchengladbach;DE;6.844112833;3.604774541;146110.9751;4.383329254;257299.3141;29180.938;170.6828;2.452;1.436583;9.710601;5.689268;0.177398;0.103935
78;de011l_dusseldorf;DE;2.82092051;1.996459781;354494.2144;10.63482643;1514576.636;117445.9276;1201.1796;21.1816;1.7634;84.712419;7.052436;15.843808;1.319021
80;de005l_frankfurt_am_main;DE;2.198847126;1.690947111;454783.7766;13.6435133;2492773.836;64154.9572;4300.378;25.8344;0.600747;818.412265;19.03117;17.201734;0.400005
81;de008l_leipzig;DE;3.66585709;2.377480811;272787.5024;8.183625073;896854.2885;29590.9588;2802.0512;33.7448;1.204289;180.23143;6.432125;38.176033;1.362432
82;de019l_magdeburg;DE;4.583044827;2.759112466;218195.5529;6.545866587;573805.5437;27235.6068;4326.9944;16.782;0.387844;456.825328;10.557567;26.694061;0.616919
83;de031l_schwerin;DE;6.20152802;3.375456174;161250.5816;4.837517448;313383.069;24428.8952;4892.0652;8.7968;0.179818;691.297623;14.130998;72.599618;1.484028
84;de042l_koblenz;DE;6.184429262;3.369248815;161696.4085;4.850892254;315118.3525;16529.4744;922.6212;4.02;0.435715;150.324828;16.293234;7.980423;0.864973
85;de030l_weimar;DE;8.967658775;4.316377134;111511.8254;3.345354763;149870.0322;16632.0964;889.4764;4.1612;0.467826;77.77398;8.743794;0.845606;0.095068
86;de039l_kiel;DE;4.395561918;2.683343481;227502.1985;6.825065955;623798.2409;17121.9076;3381.642;11.4456;0.338463;211.919549;6.266765;86.163907;2.54799
87;de032l_erfurt;DE;4.755355163;2.827843076;210289.2351;6.308677054;532975.2387;16536.9712;2857.1912;8.2264;0.287919;368.865843;12.910086;8.144367;0.285048
88;de034l_bonn;DE;3.652202506;2.371573379;273807.3802;8.214221405;903573.0096;100996.2828;1294.4864;9.6492;0.745408;208.089422;16.075057;9.233443;0.71329
