citynumber;cityfile;country;LU_k_fact;POP_l_fact;;;totpop;lostpop;totsurf(km2);totgreen(km2);%greensurf;totforest(km2);%forestsurf;totwater(km2);%watersurf
214;pl003l_krakow;PL;3.085515743;2.119427237;324094.9271;9.722847814;1265952.517;19039.3456;3006.25;22.0408;0.733166;256.93395;8.546659;15.325242;0.509779
215;pl005l_poznan;PL;3.447569678;2.282138696;290059.4022;8.701782067;1014020.757;20208.13;3717.59;35.328;0.950293;404.867687;10.890595;28.777021;0.774077
216;pl009l_lublin;PL;4.35338503;2.66615086;229706.3074;6.891189223;635943.8783;25304.14;2882.3476;9.4648;0.328371;195.868211;6.79544;6.907988;0.239665
217;pl013l_torun;PL;6.530201278;3.493690093;153134.6367;4.5940391;282631.0128;29916.9028;1347.1828;6.3652;0.472482;222.501998;16.516095;15.412997;1.144091
218;pl014l_olsztyn;PL;6.625577394;3.527625616;150930.2421;4.527907263;274552.5535;23733.2156;2930.014;4.9072;0.16748;620.121589;21.164458;64.497051;2.201254
219;pl006l_gdansk;PL;3.332776444;2.231194627;300050.1284;9.001503852;1085077.065;39422.586;3339.01;12.44;0.372566;469.726481;14.067837;48.792316;1.461281
220;pl012l_kielce;PL;5.470006217;3.104501543;182815.1487;5.484454461;402807.2791;6467.1052;2355.9304;4.9548;0.210312;443.931598;18.843154;3.980215;0.168945
221;pl025l_radom;PL;5.733123863;3.203274943;174424.9773;5.23274932;366682.5987;9258.882;1630.6744;2.5248;0.154832;205.589768;12.607653;3.474593;0.213077
222;pl008l_bydgoszcz;PL;4.65254619;2.786936856;214936.0714;6.448082142;556790.1749;34923.8228;3404.0772;6.1128;0.179573;552.846787;16.240724;35.51562;1.043326
223;pl010l_katowice;PL;2.126840735;1.653826627;470180.9512;14.10542854;2664421.997;46281.0752;2636.48;46.6636;1.769921;381.834232;14.482728;23.290148;0.88338
224;pl026l_plock;PL;7.657004445;3.884835194;130599.3757;3.91798127;205567.8301;35062.6864;1885.4704;2.386;0.126547;186.020179;9.865982;29.685999;1.574461
225;pl028l_koszalin;PL;8.506334823;4.1670462;117559.4449;3.526783347;166566.6317;5652.2388;1751.088;3.6188;0.20666;403.285006;23.030539;19.649138;1.12211
226;pl017l_gorzow_wielkopolski;PL;8.003705815;4.001235176;124942.1235;3.748263704;188144.1483;9905.1548;1305.372;4.6484;0.356098;298.739018;22.885355;9.989618;0.76527
227;pl018l_zielona_gora;PL;7.640202805;3.87915016;130886.578;3.926597339;206472.9564;7777.9996;1626.9968;3.8632;0.237444;444.921417;27.346177;8.026821;0.493352
228;pl022l_konin;PL;9.318343563;4.428185571;107315.2104;3.219456312;138801.9325;8058.7996;758.43;1.8584;0.245033;72.477208;9.556216;13.99839;1.845706
229;pl024l_czestochowa;PL;5.117657983;2.969710895;195401.8817;5.862056452;460182.8542;14912.7236;2569.5452;5.6784;0.220989;407.326217;15.852074;6.16755;0.240025
230;pl004l_wroclaw;PL;3.41969844;2.269822379;292423.4454;8.772703362;1030617.066;11995.108;4584.8032;15.37;0.335238;484.921619;10.576716;29.93047;0.652819
