dist;dist_km;indus_av;indus_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
7200;7,2;0.181967;0.080265;302;0.086824;0.119639;0.177366;0.230068;0.291301
7300;7,3;0.182347;0.079981;302;0.086625;0.122372;0.174766;0.233290;0.290889
7400;7,4;0.182507;0.079782;302;0.084622;0.125969;0.172107;0.230777;0.284825
7500;7,5;0.182620;0.079677;302;0.084906;0.126183;0.173447;0.232018;0.286652
7600;7,6;0.182630;0.079548;302;0.084307;0.127932;0.173383;0.232757;0.287908
7700;7,7;0.182761;0.079526;302;0.080032;0.127225;0.176203;0.231518;0.290223
7800;7,8;0.183028;0.079172;302;0.079734;0.128926;0.176315;0.227242;0.290177
7900;7,9;0.183272;0.078809;302;0.079300;0.127983;0.180520;0.229705;0.288048
8000;8;0.183684;0.078571;302;0.081414;0.129983;0.182687;0.231384;0.285642
8100;8,1;0.183744;0.078324;302;0.078719;0.132835;0.182822;0.234006;0.282355
8200;8,2;0.183506;0.077943;302;0.079187;0.133872;0.184296;0.233573;0.276228
8300;8,3;0.182917;0.077557;302;0.077563;0.130808;0.183103;0.232371;0.271974
8400;8,4;0.182140;0.077199;302;0.077129;0.128257;0.180812;0.230535;0.270833
8500;8,5;0.181374;0.077190;302;0.077381;0.128416;0.178535;0.230084;0.272558
8600;8,6;0.180546;0.077289;302;0.080417;0.129648;0.178426;0.227185;0.273140
8700;8,7;0.179857;0.077394;302;0.079425;0.129305;0.176071;0.223594;0.273289
8800;8,8;0.179063;0.077524;302;0.078487;0.128578;0.174778;0.222124;0.273645
8900;8,9;0.178282;0.077439;302;0.079371;0.126928;0.174535;0.222848;0.274231
9000;9;0.177921;0.077425;302;0.078721;0.129085;0.172339;0.221996;0.273459
9100;9,1;0.177799;0.077492;302;0.078890;0.130132;0.174654;0.224098;0.271117
9200;9,2;0.177921;0.077724;302;0.082022;0.127433;0.174732;0.225764;0.270982
9300;9,3;0.178103;0.078003;302;0.081669;0.128600;0.175563;0.225594;0.271507
9400;9,4;0.178285;0.078144;302;0.080388;0.126263;0.174120;0.224652;0.274138
9500;9,5;0.178560;0.077985;302;0.080702;0.123304;0.172687;0.225660;0.275421
9600;9,6;0.178799;0.077816;302;0.079063;0.126746;0.171393;0.227292;0.278370
9700;9,7;0.178801;0.077605;302;0.075149;0.126132;0.173061;0.227698;0.277689
9800;9,8;0.178427;0.077377;302;0.078675;0.123420;0.174894;0.227730;0.275590
9900;9,9;0.177815;0.077248;302;0.073693;0.121742;0.172955;0.227826;0.274097
10000;10;0.177238;0.077096;302;0.078616;0.122120;0.173343;0.226878;0.269779
10100;10,1;0.176644;0.076883;302;0.077749;0.121707;0.171496;0.222425;0.275353
10200;10,2;0.175883;0.076584;302;0.072622;0.121469;0.173257;0.222603;0.274865
10300;10,3;0.175172;0.076279;302;0.072830;0.118586;0.174132;0.220081;0.276617
10400;10,4;0.174754;0.076050;302;0.072299;0.115938;0.175127;0.219840;0.272710
10500;10,5;0.174288;0.075837;302;0.072029;0.114891;0.173248;0.218376;0.271956
10600;10,6;0.173875;0.075669;302;0.072445;0.116557;0.172215;0.218629;0.268375
10700;10,7;0.173678;0.075299;302;0.074936;0.119131;0.171044;0.216955;0.269029
10800;10,8;0.173351;0.074946;302;0.071750;0.118663;0.171238;0.217032;0.270807
10900;10,9;0.173160;0.074693;302;0.069615;0.120458;0.172283;0.218716;0.270095
11000;11;0.172872;0.074688;302;0.070892;0.120841;0.171742;0.214249;0.267062
11100;11,1;0.172675;0.074943;302;0.072347;0.120415;0.169248;0.211022;0.271420
11200;11,2;0.172351;0.075186;302;0.072510;0.119775;0.168671;0.211173;0.267513
11300;11,3;0.171978;0.075437;302;0.073163;0.117575;0.166744;0.209448;0.272163
11400;11,4;0.171694;0.075644;302;0.076287;0.120609;0.163424;0.206826;0.271559
11500;11,5;0.171329;0.075672;302;0.076788;0.120699;0.162395;0.207974;0.272146
11600;11,6;0.170967;0.075625;302;0.074422;0.118168;0.162074;0.207265;0.269600
11700;11,7;0.170671;0.075712;302;0.073307;0.119301;0.163186;0.206460;0.271028
11800;11,8;0.170323;0.075915;302;0.071499;0.121545;0.162985;0.208262;0.272642
11900;11,9;0.170122;0.076062;302;0.070381;0.122735;0.164591;0.204947;0.272822
12000;12;0.169835;0.076256;302;0.072535;0.123754;0.162674;0.206054;0.277948
12100;12,1;0.169341;0.076457;302;0.073054;0.121295;0.161608;0.206475;0.273183
12200;12,2;0.168932;0.076495;302;0.071510;0.117963;0.159813;0.206165;0.273364
12300;12,3;0.168394;0.076487;302;0.071292;0.116290;0.161645;0.207752;0.272048
12400;12,4;0.167884;0.076569;302;0.070344;0.114630;0.161398;0.210404;0.269635
12500;12,5;0.167233;0.076386;302;0.069862;0.115165;0.159956;0.209852;0.265360
12600;12,6;0.166674;0.076098;302;0.068176;0.117876;0.157731;0.211933;0.262464
12700;12,7;0.166046;0.075832;302;0.066626;0.118280;0.156673;0.210707;0.259923
12800;12,8;0.165663;0.075586;302;0.066967;0.118931;0.154307;0.211292;0.256475
12900;12,9;0.165408;0.075483;302;0.066856;0.116242;0.154889;0.213746;0.254838
13000;13;0.165182;0.075511;302;0.067513;0.116155;0.156699;0.214279;0.254621
13100;13,1;0.164931;0.075548;302;0.068573;0.115583;0.156781;0.216599;0.254140
13200;13,2;0.164682;0.075604;302;0.068828;0.116902;0.157347;0.215229;0.255382
13300;13,3;0.164462;0.075828;302;0.068348;0.116061;0.157412;0.213416;0.257449
13400;13,4;0.164196;0.076103;302;0.067879;0.114793;0.158002;0.212541;0.257283
13500;13,5;0.163788;0.076170;302;0.065267;0.112157;0.155744;0.210761;0.254513
13600;13,6;0.163385;0.076289;302;0.065216;0.110397;0.155152;0.210381;0.252531
13700;13,7;0.162989;0.076414;302;0.064403;0.109356;0.153947;0.209057;0.253757
13800;13,8;0.162412;0.076588;302;0.063558;0.108788;0.154479;0.206057;0.253331
13900;13,9;0.161853;0.076731;302;0.065064;0.107820;0.154902;0.207005;0.257425
14000;14;0.161253;0.076966;302;0.065013;0.107265;0.150840;0.207405;0.256202
14100;14,1;0.160732;0.077064;302;0.064962;0.106044;0.149900;0.208109;0.256757
14200;14,2;0.160131;0.077055;302;0.066628;0.105681;0.151635;0.208395;0.257322
14300;14,3;0.159535;0.076926;302;0.067440;0.103129;0.150736;0.206315;0.257860
14400;14,4;0.159047;0.076774;302;0.065739;0.100578;0.150077;0.205230;0.258398
14500;14,5;0.158690;0.076658;302;0.065198;0.100890;0.151305;0.201623;0.260394
14600;14,6;0.158362;0.076474;302;0.064708;0.100422;0.151842;0.200465;0.265169
14700;14,7;0.157994;0.076175;302;0.064657;0.101551;0.151030;0.198895;0.260255
14800;14,8;0.157767;0.075914;302;0.064607;0.100555;0.153597;0.197220;0.260550
14900;14,9;0.157315;0.075514;302;0.064556;0.100238;0.153178;0.198111;0.257842
15000;15;0.156893;0.075100;302;0.063620;0.098471;0.154235;0.196719;0.258516
15100;15,1;0.156384;0.074808;302;0.062723;0.099626;0.152614;0.198177;0.256779
15200;15,2;0.155760;0.074427;302;0.061952;0.100805;0.149282;0.199253;0.256248
15300;15,3;0.154969;0.074013;302;0.062778;0.100712;0.149728;0.198981;0.255717
15400;15,4;0.154233;0.073441;302;0.062618;0.100955;0.148305;0.200207;0.254822
15500;15,5;0.153489;0.072838;302;0.062265;0.102429;0.145133;0.199525;0.253004
15600;15,6;0.152792;0.072200;302;0.063182;0.101626;0.145383;0.197070;0.250801
15700;15,7;0.152112;0.071636;302;0.061653;0.100885;0.143004;0.195401;0.247381
15800;15,8;0.151352;0.071076;302;0.060857;0.100611;0.142226;0.196055;0.243479
15900;15,9;0.150503;0.070456;302;0.059765;0.100180;0.141092;0.195911;0.239192
16000;16;0.149619;0.069734;302;0.058600;0.099410;0.140759;0.193788;0.235675
