"dist_km","country_2","mean_diff"
0.4,"NO",0
0.4,"PL",1.82725452345617e-19
0.4,"PT",0
0.4,"RO",5.94414446088712e-19
0.4,"RS",0
0.4,"SE",-8.67361737988404e-19
0.4,"SI",0
0.4,"SK",4.33680868994202e-19
0.4,"TR",-2.13325247765996e-18
0.4,"UK",8.94719099986957e-19
0.4,"XK",0
0.5,"AL",-2.60208521396521e-18
0.5,"AT",1.15987044910689e-18
0.5,"BA",-1.38811759396035e-18
0.5,"BE",-5.67604478254627e-18
0.5,"BG",-1.83517161842767e-18
0.5,"CH",2.08268461070887e-18
0.5,"CY",3.46944695195361e-18
0.5,"CZ",-6.96148144916734e-19
0.5,"DE",-2.32476409034694e-18
0.5,"DK",3.46944695195361e-18
0.5,"EE",2.31352932326725e-18
0.5,"EL",-1.54009412765215e-18
0.5,"ES",-8.10622133713424e-19
0.5,"FI",0
0.5,"FR",-2.9247741512204e-18
0.5,"HR",0
0.5,"HU",1.64574043583367e-18
0.5,"IE",-6.93889390390723e-18
0.5,"IS",0
0.5,"IT",3.88828457691974e-20
0.5,"LT",-2.89092344897893e-18
0.5,"LU",0
0.5,"LV",-3.46944695195361e-18
0.5,"ME",0
0.5,"MK",-8.67361737988404e-19
0.5,"MT",0
0.5,"NL",0
0.5,"NO",-1.73472347597681e-18
0.5,"PL",-2.46691043879649e-19
0.5,"PT",-1.15627055908106e-18
0.5,"RO",-1.5361789531404e-18
0.5,"RS",-1.48763186479205e-18
0.5,"SE",6.36460556566881e-18
0.5,"SI",-6.93889390390723e-18
0.5,"SK",-2.16840434497101e-18
0.5,"TR",-1.47089500324781e-18
0.5,"UK",2.2087735747976e-18
0.5,"XK",0
0.6,"AL",3.46944695195361e-18
0.6,"AT",1.15761169458088e-18
0.6,"BA",-1.38811759396035e-18
0.6,"BE",-6.33888656527036e-19
0.6,"BG",-1.63507254100571e-18
0.6,"CH",-2.42869756966226e-18
0.6,"CY",6.93889390390723e-18
0.6,"CZ",4.63948179642755e-19
0.6,"DE",3.84515348908268e-18
0.6,"DK",-3.46944695195361e-18
