"dist_km","country_2","mean_diff"
0.4,"LV",1.73472347597681e-18
0.4,"ME",0
0.4,"MK",0
0.4,"MT",0
0.4,"NL",-3.95636989191809e-19
0.4,"NO",1.15619997300212e-18
0.4,"PL",-9.48530860761497e-19
0.4,"PT",-5.75700059817173e-19
0.4,"RO",1.68617638762846e-18
0.4,"RS",-2.46607592357752e-19
0.4,"SE",1.4455323105684e-18
0.4,"SI",6.93889390390723e-18
0.4,"SK",8.67361737988404e-19
0.4,"TR",-2.91620069535225e-18
0.4,"UK",-8.2722318947511e-18
0.4,"XK",-2.31324697895149e-18
0.5,"AL",3.46944695195361e-18
0.5,"AT",3.46944695195361e-18
0.5,"BA",1.11049407516828e-17
0.5,"BE",2.83863841523478e-18
0.5,"BG",1.63706555970513e-18
0.5,"CH",-2.77352468248948e-18
0.5,"CY",3.46944695195361e-18
0.5,"CZ",-6.47584922607488e-18
0.5,"DE",1.14836491824002e-18
0.5,"DK",-6.93889390390723e-18
0.5,"EE",2.31296463463574e-18
0.5,"EL",-1.53971766856448e-18
0.5,"ES",-1.27930983013045e-18
0.5,"FI",-1.98447719071007e-18
0.5,"FR",-2.17846668817574e-18
0.5,"HR",5.9481073650332e-18
0.5,"HU",-1.09418824512682e-18
0.5,"IE",1.11049407516828e-17
0.5,"IS",0
0.5,"IT",-2.34878202783392e-18
0.5,"LT",1.15704700594937e-18
0.5,"LU",0
0.5,"LV",-2.60208521396521e-18
0.5,"ME",0
0.5,"MK",-1.73472347597681e-18
0.5,"MT",0
0.5,"NL",-6.54596742014663e-18
0.5,"NO",3.46944695195361e-18
0.5,"PL",-2.01979387477688e-18
0.5,"PT",2.02638515414804e-18
0.5,"RO",-2.18002079681907e-18
0.5,"RS",6.93889390390723e-18
0.5,"SE",1.15648231731787e-18
0.5,"SI",6.93889390390723e-18
0.5,"SK",5.20417042793042e-18
0.5,"TR",-3.72765825882187e-18
0.5,"UK",3.83277002039291e-18
0.5,"XK",2.3143763562145e-18
0.6,"AL",-3.46944695195361e-18
0.6,"AT",0
0.6,"BA",2.77284705613168e-18
0.6,"BE",-3.78639128021713e-18
0.6,"BG",-2.04284416690743e-18
0.6,"CH",5.54772699133677e-18
0.6,"CY",-1.73472347597681e-18
0.6,"CZ",3.70164691722759e-18
0.6,"DE",-3.97265510870161e-18
0.6,"DK",-6.93889390390723e-18
0.6,"EE",0
0.6,"EL",3.85719981225225e-18
0.6,"ES",2.24130429359241e-18
0.6,"FI",-2.96897148483307e-18
0.6,"FR",-5.95433546271077e-19
0.6,"HR",8.92385511344431e-18
0.6,"HU",3.65169277765759e-18
0.6,"IE",-2.77284705613168e-18
0.6,"IS",0
0.6,"IT",-7.20381354188657e-19
0.6,"LT",1.15704700594937e-18
0.6,"LU",0
0.6,"LV",1.73472347597681e-18
0.6,"ME",0
0.6,"MK",0
0.6,"MT",0
0.6,"NL",5.54879183275617e-18
0.6,"NO",3.46944695195361e-18
0.6,"PL",4.30368678090111e-18
0.6,"PT",4.91250874975919e-18
0.6,"RO",-5.93213474374212e-19
0.6,"RS",0
0.6,"SE",6.93889390390723e-18
0.6,"SI",-6.93889390390723e-18
0.6,"SK",-2.60208521396521e-18
0.6,"TR",3.83037214884682e-19
0.6,"UK",2.36159994485539e-17
0.6,"XK",-4.62451754769273e-18
0.7,"AL",0
0.7,"AT",-9.25087033343784e-18
0.7,"BA",0
0.7,"BE",6.30562127134183e-18
0.7,"BG",2.45021718906926e-18
0.7,"CH",6.95922269464133e-19
0.7,"CY",0
0.7,"CZ",4.63270553284952e-19
0.7,"DE",-1.19979393535414e-17
0.7,"DK",0
0.7,"EE",-2.31296463463574e-18
0.7,"EL",-3.85795273042759e-18
0.7,"ES",1.27761576423594e-18
0.7,"FI",7.92919642395426e-18
0.7,"FR",-6.78879558356727e-18
0.7,"HR",0
0.7,"HU",2.18944642660806e-18
0.7,"IE",-8.3320936955511e-18
0.7,"IS",0
0.7,"IT",1.88428529352057e-18
0.7,"LT",-4.62592926927149e-18
0.7,"LU",0
0.7,"LV",1.73472347597681e-18
0.7,"ME",0
0.7,"MK",-5.20417042793042e-18
0.7,"MT",0
0.7,"NL",-1.22921421305544e-17
0.7,"NO",2.31239994600424e-18
0.7,"PL",-4.66937134985365e-18
0.7,"PT",-2.3123293599253e-18
0.7,"RO",2.97032673754868e-18
0.7,"RS",6.44277460622971e-18
0.7,"SE",6.36149977819555e-18
0.7,"SI",-1.38777878078145e-17
0.7,"SK",0
0.7,"TR",4.82398637665754e-18
0.7,"UK",-2.48005479923227e-17
0.7,"XK",-4.62423520337698e-18
0.8,"AL",6.93889390390723e-18
0.8,"AT",-1.15629879351263e-17
0.8,"BA",-1.38777878078145e-17
0.8,"BE",5.68097297423939e-18
0.8,"BG",-8.19529289202278e-19
0.8,"CH",1.39116691257046e-18
0.8,"CY",3.46944695195361e-18
0.8,"CZ",9.24282352043893e-19
0.8,"DE",-1.28701009448976e-17
0.8,"DK",0
0.8,"EE",6.93889390390723e-18
0.8,"EL",7.72494047895922e-19
0.8,"ES",3.51307495033274e-18
0.8,"FI",-7.92919642395426e-18
0.8,"FR",-1.49420693982151e-18
0.8,"HR",1.98447719071007e-18
0.8,"HU",2.18944642660806e-18
0.8,"IE",1.38777878078145e-17
0.8,"IS",0
0.8,"IT",-1.06661615510442e-18
0.8,"LT",2.31409401189875e-18
0.8,"LU",0
0.8,"LV",6.93889390390723e-18
0.8,"ME",0
0.8,"MK",1.73472347597681e-18
0.8,"MT",0
0.8,"NL",1.18662055627922e-18
0.8,"NO",0
0.8,"PL",-8.25360587017656e-19
0.8,"PT",0
0.8,"RO",2.96974591495628e-18
0.8,"RS",6.93889390390723e-18
0.8,"SE",-2.89092344897893e-18
0.8,"SI",0
0.8,"SK",3.46944695195361e-18
0.8,"TR",-2.3658076023627e-18
0.8,"UK",-2.00756179927622e-17
0.8,"XK",9.25129384991147e-18
0.9,"AL",-3.46944695195361e-18
0.9,"AT",-6.93889390390723e-18
0.9,"BA",-5.54569411226336e-18
0.9,"BE",2.52569824272191e-18
0.9,"BG",4.89963717065876e-18
0.9,"CH",4.86061386452408e-18
0.9,"CY",3.46944695195361e-18
0.9,"CZ",4.62592926927149e-19
0.9,"DE",-6.07153216591882e-18
0.9,"DK",1.38777878078145e-17
0.9,"EE",0
0.9,"EL",3.08094117347964e-18
0.9,"ES",4.85539010790964e-18
0.9,"FI",-7.92943843336776e-18
0.9,"FR",9.40553548804161e-19
0.9,"HR",-4.95393269437015e-18
0.9,"HU",-1.45867989653477e-18
0.9,"IE",2.77826806699411e-18
0.9,"IS",0
0.9,"IT",1.06661615510442e-18
0.9,"LT",4.62479989200848e-18
0.9,"LU",0
0.9,"LV",-6.93889390390723e-18
0.9,"ME",0
0.9,"MK",-1.73472347597681e-18
0.9,"MT",0
0.9,"NL",7.53210737828144e-18
0.9,"NO",-3.46944695195361e-18
0.9,"PL",2.64642300754907e-18
0.9,"PT",2.89168224932751e-18
0.9,"RO",-3.37632172963834e-18
0.9,"RS",6.44229058740271e-18
0.9,"SE",8.67361737988404e-18
0.9,"SI",0
0.9,"SK",-1.04083408558608e-17
0.9,"TR",4.57451288335043e-18
0.9,"UK",1.94868039405772e-17
0.9,"XK",0
1,"AL",1.04083408558608e-17
1,"AT",2.31430577013556e-18
1,"BA",1.11049407516828e-17
1,"BE",6.30438922341855e-18
1,"BG",-1.63507254100571e-18
1,"CH",7.63481617337136e-18
1,"CY",-6.93889390390723e-18
1,"CZ",2.77555756156289e-18
1,"DE",1.00528693623298e-18
1,"DK",1.38777878078145e-17
1,"EE",4.62592926927149e-18
1,"EL",-2.30995296193439e-18
1,"ES",-3.6055291766851e-18
1,"FI",-5.9481073650332e-18
