X,Y,fid,country_2,fua_code,Full_code,fua_name,Pop2018_2
4226896.69235335,3382472.30225563,678,DE,DE527L1,DE527L1_BREMERHAVEN_UA2018_v013,Bremerhaven,309155
4263997.12181263,2892489.53158998,521,DE,DE529L1,DE529L1_HEILBRONN_UA2018_v013,Heilbronn,464686
4124242.75272946,3122833.10157789,572,DE,DE530L0,DE530L0_REMSCHEID_UA2018_v013,Remscheid,111106
4320496.97941411,2809279.37297003,517,DE,DE532L1,DE532L1_ULM_UA2018_v013,Ulm,492773
4225947.25898715,2865050.4997457,520,DE,DE533L1,DE533L1_PFORZHEIM_UA2018_v013,Pforzheim,324314
4425830.42385754,2850981.76514695,516,DE,DE534L1,DE534L1_INGOLSTADT_UA2018_v013,Ingolstadt,488579
4467580.26764509,3087070.75709002,688,DE,DE535L1,DE535L1_GERA_UA2018_v013,Gera,194137
4262206.0666049,2820764.17473184,518,DE,DE537L1,DE537L1_REUTLINGEN_UA2018_v013,Reutlingen,284792
4619602.51389588,3192419.12517935,577,DE,DE539L1,DE539L1_COTTBUS_UA2018_v013,Cottbus,216166
4182095.48939863,3086638.73281257,573,DE,DE540L2,DE540L2_SIEGEN_UA2018_v013,Siegen,406637
4317563.73467339,3227462.57224281,682,DE,DE542L1,DE542L1_HILDESHEIM_UA2018_v013,Hildesheim,276972
4497347.04996088,3070298.14167461,686,DE,DE544L1,DE544L1_ZWICKAU_UA2018_v013,Zwickau,319237
4121861.7399879,3131480.36968915,71,DE,DE546L0,DE546L0_WUPPERTAL_UA2018_v013,Wuppertal,351179
4432589.85724302,3091938.19004569,576,DE,DE547L2,DE547L2_JENA_UA2018_v013,Jena,194039
4073524.75450164,3083014.86354545,568,DE,DE548L1,DE548L1_DUREN_UA2018_v013,Düren,263273
4087554.88309401,3197298.73755651,566,DE,DE549L1,DE549L1_BOCHOLT_UA2018_v013,Bocholt,370201
4482756.00000811,3621869.51977866,100,DK,DK001L2,DK001L2_KOBENHAVN_UA2018_v013,København,1744378
4333633.12000062,3672113.79978588,102,DK,DK002L3,DK002L3_ARHUS_UA2018_v013,Århus,726677
4345632.67000125,3587972.14977407,101,DK,DK003L2,DK003L2_ODENSE_UA2018_v013,Odense,490820
4316183.42999977,3771738.74979861,103,DK,DK004L3,DK004L3_AALBORG_UA2018_v013,Aalborg,508182
5152547.78003758,4124099.82983021,104,EE,EE001L1,EE001L1_TALLINN_UA2018_v013,Tallinn,592055
5290446.55004491,4034306.68981991,105,EE,EE002L1,EE002L1_TARTU_UA2018_v013,Tartu,148764
