"dist_km","country_2","mean_diff"
0.4,"RO",-6.34568042953302e-18
0.4,"RS",-3.17228359311546e-17
0.4,"SE",4.62615514472409e-17
0.4,"SI",0
0.4,"SK",1.38777878078145e-17
0.4,"TR",2.69927109949228e-17
0.4,"UK",5.19869174673967e-17
0.4,"XK",-3.70077164984876e-17
0.5,"AL",4.16333634234434e-17
0.5,"AT",5.55111512312578e-17
0.5,"BA",2.22071709979343e-17
0.5,"BE",2.0182177031233e-17
0.5,"BG",5.22362229043678e-17
0.5,"CH",5.55111512312578e-17
0.5,"CY",0
0.5,"CZ",-5.18115371931036e-17
0.5,"DE",-1.44270886741089e-17
0.5,"DK",0
0.5,"EE",3.70071518098561e-17
0.5,"EL",1.84976937316832e-17
0.5,"ES",-3.87649617683086e-17
0.5,"FI",-4.75867949955736e-17
0.5,"FR",2.8081295502105e-17
0.5,"HR",3.1720657846433e-17
0.5,"HU",0
0.5,"IE",4.44143419958687e-17
0.5,"IS",0
0.5,"IT",-1.58785544693798e-17
0.5,"LT",3.70064459490668e-17
0.5,"LU",0
0.5,"LV",2.77555756156289e-17
0.5,"ME",0
0.5,"MK",5.55111512312578e-17
0.5,"MT",0
0.5,"NL",7.93519825740909e-18
0.5,"NO",-1.85037170770859e-17
0.5,"PL",-5.64543078140092e-17
0.5,"PT",-4.62056472727221e-18
0.5,"RO",4.75819548073036e-17
0.5,"RS",3.17252560252896e-17
0.5,"SE",-4.62638102017669e-17
0.5,"SI",-5.55111512312578e-17
0.5,"SK",-2.77555756156289e-17
0.5,"TR",8.80860768326751e-18
0.5,"UK",-1.77379512341611e-17
0.5,"XK",0
0.6,"AL",-2.77555756156289e-17
0.6,"AT",-4.62592926927149e-17
0.6,"BA",2.22071709979343e-17
0.6,"BE",-5.04606787817565e-17
0.6,"BG",5.22362229043678e-17
0.6,"CH",2.220852625065e-17
0.6,"CY",0
0.6,"CZ",7.40306795900258e-18
0.6,"DE",-1.73472347597681e-18
0.6,"DK",0
0.6,"EE",3.70065871212246e-17
0.6,"EL",2.46761402784999e-17
0.6,"ES",4.56479747040791e-17
0.6,"FI",3.17254980347031e-17
0.6,"FR",-4.01414016311929e-18
0.6,"HR",-7.92629231099224e-18
0.6,"HU",-2.92135422212607e-17
0.6,"IE",4.44143419958687e-17
0.6,"IS",0
0.6,"IT",4.36354215896718e-17
0.6,"LT",5.55111512312578e-17
0.6,"LU",0
0.6,"LV",2.77555756156289e-17
0.6,"ME",0
0.6,"MK",2.77555756156289e-17
0.6,"MT",0
0.6,"NL",2.37947527505024e-17
0.6,"NO",-2.77555756156289e-17
0.6,"PL",-3.06577149491508e-17
0.6,"PT",4.62056472727221e-18
0.6,"RO",3.17284021476651e-18
0.6,"RS",-2.37858952059683e-17
0.6,"SE",-2.77555756156289e-17
0.6,"SI",0
0.6,"SK",1.38777878078145e-17
0.6,"TR",9.4585940185816e-18
0.6,"UK",-4.48767426883681e-17
0.6,"XK",3.70091282200664e-17
0.7,"AL",2.77555756156289e-17
0.7,"AT",-4.62592926927149e-17
0.7,"BA",-4.4406210479575e-17
0.7,"BE",0
0.7,"BG",1.30582585186122e-17
0.7,"CH",4.44143419958687e-17
0.7,"CY",0
0.7,"CZ",2.96100130814843e-17
0.7,"DE",9.8560047881721e-18
0.7,"DK",-4.16333634234434e-17
0.7,"EE",3.70068694655404e-17
0.7,"EL",2.46761402784999e-17
0.7,"ES",8.3387028731779e-18
0.7,"FI",-4.75848589202656e-17
0.7,"FR",-5.21272239913282e-17
0.7,"HR",0
0.7,"HU",-4.09043801206275e-17
0.7,"IE",4.44034999741438e-17
0.7,"IS",0
0.7,"IT",-4.76206964809149e-17
0.7,"LT",3.70081400149613e-17
0.7,"LU",0
0.7,"LV",1.38777878078145e-17
0.7,"ME",0
0.7,"MK",5.55111512312578e-17
0.7,"MT",0
0.7,"NL",5.07604096404633e-17
0.7,"NO",-2.77555756156289e-17
0.7,"PL",-2.29607849735163e-17
0.7,"PT",-3.23761403429011e-17
0.7,"RO",-1.59067947306088e-18
0.7,"RS",4.75836488731981e-17
0.7,"SE",-3.70029166451199e-17
0.7,"SI",0
0.7,"SK",-5.55111512312578e-17
0.7,"TR",2.85302095362337e-17
0.7,"UK",-4.84067434850616e-17
0.7,"XK",-3.70091282200664e-17
0.8,"AL",2.77555756156289e-17
0.8,"AT",0
0.8,"BA",-4.44116314904375e-17
0.8,"BE",5.05078046148219e-18
0.8,"BG",-2.93946341940335e-17
0.8,"CH",2.77555756156289e-17
0.8,"CY",-5.55111512312578e-17
0.8,"CZ",7.39945395176097e-18
0.8,"DE",-4.21850642164217e-17
0.8,"DK",0
0.8,"EE",3.70068694655404e-17
0.8,"EL",2.46776461148506e-17
0.8,"ES",2.50749600045813e-17
0.8,"FI",-3.96479181950793e-17
0.8,"FR",-4.95278176466239e-17
0.8,"HR",3.96488862327333e-17
0.8,"HU",2.33781093442187e-17
0.8,"IE",3.33012697278923e-17
0.8,"IS",0
0.8,"IT",4.88508303297416e-17
0.8,"LT",1.85017406668757e-17
0.8,"LU",0
0.8,"LV",4.16333634234434e-17
0.8,"ME",0
0.8,"MK",5.55111512312578e-17
0.8,"MT",0
0.8,"NL",1.74419088423298e-17
0.8,"NO",0
0.8,"PL",-2.3949885791648e-17
0.8,"PT",5.08928452585116e-17
0.8,"RO",1.10960348052659e-17
0.8,"RS",-7.92750235805975e-18
0.8,"SE",-3.70017872678569e-17
0.8,"SI",-5.55111512312578e-17
