X;Y;citynumber;cityname;cityfile;country;field_4;field_5
15.8368981756181;50.2124421815437;58;Hradec Kralove;cz009l_hradec_kralove;République Tchèque;4737163.88;3027712.21
15.7788275606637;50.0387746016686;59;Pardubice;cz010l_pardubice;République Tchèque;4734536.7;3008118.28
17.6662193443441;49.2265154118245;60;Zlin;cz011l_zlin;République Tchèque;4878375.93;2930570.87
15.5912210898903;49.3962002206614;61;Jihlava;cz014l_jihlava;République Tchèque;4726499.97;2935789.46
14.4731522233955;48.9743273402406;62;Ceske Budejovice;cz008l_ceske_budejovice;République Tchèque;4648340.83;2883402.84
13.3777755729469;49.7481383006808;63;Plzen;cz004l_plzen;République Tchèque;4564372.85;2965097.26
12.8659375979926;50.2280565312977;64;Karlovyvary;cz013l_karlovyvary;République Tchèque;4525459.56;3016870.72
14.418002689852;50.0871324990389;65;Praha;cz001l_praha;République Tchèque;4636991.78;3006718.92
11.5755568628255;48.1375454408331;66;Munchen;de003l_munchen;Allemagne;4438311.45;2781694.62
6.95971105096143;50.9384759575041;67;Koln;de004l_koln;Allemagne;4107362.73;3096338.25
13.7403313354938;51.0480610976053;68;Desden;de009l_dresden;Allemagne;4583163.62;3110795.55
8.80793214910569;53.0760221366926;69;Bremen;de012l_bremen;Allemagne;4241107.52;3330389.8
9.73742313858393;52.3672679121557;70;Hannover;de013l_hannover;Allemagne;4303114.52;3250898.25
7.1464300015206;51.259319973221;71;Wuppertal;de016l_wuppertal;Allemagne;4121861.74;3131480.37
8.53435864239957;52.0219761961014;72;Bielefeld;de017l_bielefeld;Allemagne;4220399.75;3213456.71
8.65597301426641;49.8721122370086;73;Darmstadt;de025l_darmstadt;Allemagne;4224377.05;2974171.94
14.5543204292847;52.3442031158879;74;Frankfurt Oder;de029l_frankfurt_oder;Allemagne;4631146.38;3258004.66
8.4032976827747;49.0086504823245;75;Karlsruhe;de035l_karlsruhe;Allemagne;4204164;2878541
6.43065867539752;51.1924417053884;76;Monchengladbach;de036l_monchengladbach;Allemagne;4071590.49;3126242.67
6.77147787821795;51.2256895846517;77;Dusseldorf;de011l_dusseldorf;Allemagne;4095549.31;3128830.92
6.99684265748247;49.2345446679213;78;Saarbrucken;de040l_saarbrucken;Allemagne;4102304.83;2906853.3
8.68164816784643;50.1104623998062;79;Frankfurt Am Main;de005l_frankfurt_am_main;Allemagne;4226692.92;3000643.31
12.3723842801646;51.3363378972723;80;Leipzig;de008l_leipzig;Allemagne;4486296.11;3138844.27
11.6396598985934;52.1314799936893;81;Magdeburg;de019l_magdeburg;Allemagne;4433267.78;3225892.87
11.4082860984599;53.6321143367672;82;Schwerin;de031l_schwerin;Allemagne;4414167.3;3392522.32
7.59823794234889;50.3603141810458;83;Koblenz;de042l_koblenz;Allemagne;4150117.28;3030385.26
11.3292121905093;50.9793504030824;84;Weimar;de030l_weimar;Allemagne;4414344.99;3097293.46
10.1324274811937;54.3218698921704;85;Kiel;de039l_kiel;Allemagne;4329619.05;3468383.69
11.0293422686125;50.9778164566774;86;Erfurt;de032l_erfurt;Allemagne;4393290.61;3096783.33
7.10294542058015;50.7350034402202;87;Bonn;de034l_bonn;Allemagne;4116531.25;3073309.92
8.27696456377798;50.0009347932016;88;Mainz;de037l_mainz;Allemagne;4197467.02;2989064.62
8.24210386321224;50.0818711768353;89;Wiesbaden;de020l_wiesbaden;Allemagne;4195181.28;2998123.32
7.84922993793936;47.9964380419002;90;Freiburg Im Breisgau;de027l_freiburg_im_breisgau;Allemagne;4160427.16;2767098.26
9.99239761130752;53.550380759545;91;Hamburg;de002l_hamburg;Allemagne;4320496.05;3382521.72
9.17796130272857;48.7750704982704;92;Stuttgart;de007l_stuttgart;Allemagne;4260560.77;2851643.62
11.0773055105289;49.4552154164988;93;Nurnberg;de014l_nurnberg;Allemagne;4399119.77;2927499.15
11.9715184755171;51.4824390373939;94;Halle an der Saale;de018l_halle_an_der_saale;Allemagne;4457936.71;3154263.51
9.94019172000194;51.5284393179484;95;Gottingen;de021l_gottingen;Allemagne;4316849.47;3157534.42
